"bathrooms","exterior","price","rooms","size","longitude","latitude"
1,FALSE,165000,1,53,-3.7052044,40.430676
2,TRUE,550000,2,120,-3.7099369,40.4310217
3,FALSE,790000,5,320,-3.7238752,40.489853
1,FALSE,131800,3,59,-3.6422185,40.4280554
1,TRUE,160000,2,86,-3.7140914,40.3822539
2,FALSE,418000,6,171,-3.6989097,40.4095106
1,TRUE,150000,3,80,-3.6581576,40.4755057
2,TRUE,89000,3,110,-3.6418131,40.3866397
1,TRUE,3e+05,1,100,-3.7041467,40.4641832
2,TRUE,220890,4,140,-3.630325,40.4072306
1,TRUE,128500,2,60,-3.7464131,40.3917587
3,TRUE,1900000,3,230,-3.6804572,40.42312
1,TRUE,220000,3,85,-3.6518652,40.4415087
1,TRUE,405000,5,72,-3.6832464,40.4274141
1,TRUE,190000,1,60,-3.6946718,40.4603494
1,TRUE,62000,0,55,-3.7416279,40.4035295
1,TRUE,62500,0,39,-3.6579442,40.4262617
2,TRUE,210000,3,120,-3.7060912,40.4579591
2,TRUE,4e+05,2,110,-3.7092696,40.4162138
2,TRUE,226000,4,109,-3.7309623,40.4087715
1,FALSE,150000,2,52,-3.6749851,40.4425373
2,TRUE,440000,4,154,-3.6949776,40.4858504
3,TRUE,1700000,5,226,-3.696365,40.4337513
6,FALSE,2950000,8,500,-3.6799219,40.4491156
1,TRUE,65719,2,51,-3.7432105,40.3867945
2,FALSE,180000,3,96,-3.6514163,40.4091937
2,TRUE,299000,3,124,-3.6195286,40.4205109
2,TRUE,240000,2,100,-3.732192,40.38322
3,TRUE,575000,4,250,-3.6054507,40.4334994
1,TRUE,62700,1,33,-3.699198,40.4626338
1,TRUE,180000,1,45,-3.690476,40.4030048
1,TRUE,177664,1,53,-3.7021129,40.4607008
8,FALSE,2980000,6,1091,-3.7728403,40.4574362
2,FALSE,329000,4,116,-3.6860588,40.4664518
1,TRUE,164800,1,49,-3.7021129,40.4607008
2,TRUE,220000,1,60,-3.7049054,40.4657758
1,TRUE,4e+05,3,78,-3.6734311,40.4272275
2,TRUE,293800,3,103,-3.5850989,40.4673473
2,TRUE,420000,3,145,-3.6638982,40.4257557
1,TRUE,80000,2,60,-3.7476735,40.3715987
2,TRUE,351000,3,127,-3.6421366,40.5004449
7,FALSE,1995000,7,750,-3.7942023,40.4688286
3,FALSE,1850000,3,310,-3.768362,40.4648338
1,TRUE,59800,2,58,-3.6508662,40.38861
1,TRUE,135000,3,75,-3.7614891,40.3913772
1,TRUE,179000,1,60,-3.6684658,40.4669364
